"月份","静态 WAPE (%)","动态 WAPE (%)","静态 MAE (MW)","动态 MAE (MW)","注记"
"2016-01","4.5448","4.5448","477.59","477.59","两者使用相同初始模型"
"2016-02","4.4292","4.2311","441.43","421.69",""
"2016-03","3.2708","3.0051","274.28","251.99",""
"2016-04","3.3004","3.1009","266.95","250.81",""
"2016-05","2.8832","2.7354","233.92","221.93",""
"2016-06","3.9656","3.6806","380.16","352.84",""
"2016-07","3.5909","3.6100","379.63","381.65","动态模型略差"
"2016-08","3.5359","3.3589","384.60","365.35",""
"2016-09","4.2052","4.0221","396.08","378.83",""
"2016-10","2.8927","2.6459","230.64","210.96",""
"2016-11","3.2834","2.8776","279.13","244.63",""
"2016-12","4.0062","3.9155","393.42","384.51",""
"2017-01","4.3050","4.0186","422.85","394.72",""
"2017-02","4.5920","4.2749","417.17","388.36",""
"2017-03","3.8754","3.6176","349.91","326.63",""
"2017-04","3.4790","3.1714","279.93","255.18",""
"2017-05","3.9822","3.6762","328.97","303.68",""
"2017-06","3.7651","3.6524","360.54","349.75",""
"2017-07","3.7563","3.4687","389.05","359.27",""
"2017-08","3.2999","3.2072","321.72","312.68",""
"2017-09","3.6859","3.3214","323.50","291.51",""
"2017-10","3.2119","2.9114","266.16","241.26",""
"2017-11","3.6483","3.3150","323.41","293.87",""
"2017-12","4.1561","3.9405","422.22","400.31",""
"2018-01","4.8647","4.8506","547.62","546.04",""
"2018-02","4.2964","4.1074","409.39","391.38",""
"2018-03","4.3352","4.0496","411.04","383.97",""
"2018-04","4.1911","3.8786","349.37","323.32",""
"2018-05","4.3633","4.0013","392.06","359.53",""
"2018-06","4.2547","3.8982","418.96","383.86",""
"2018-07","3.8659","3.7938","397.86","390.44",""
"2018-08","3.5641","3.1085","365.97","319.19","仅包含两表共有的 2018-08-01 至 2018-08-02 数据"
"整体","3.8876","3.6700","363.33","342.99","仅两张表共有的 68,040 个预测主键；按纽约本地预测月份统计"
